"ACTIVITY" "SUBJECT_ID" "tBodyAcc-mean()-X" "tBodyAcc-mean()-Y" "tBodyAcc-mean()-Z" "tBodyAcc-std()-X" "tBodyAcc-std()-Y" "tBodyAcc-std()-Z" "tGravityAcc-mean()-X" "tGravityAcc-mean()-Y" "tGravityAcc-mean()-Z" "tGravityAcc-std()-X" "tGravityAcc-std()-Y" "tGravityAcc-std()-Z" "tBodyAccJerk-mean()-X" "tBodyAccJerk-mean()-Y" "tBodyAccJerk-mean()-Z" "tBodyAccJerk-std()-X" "tBodyAccJerk-std()-Y" "tBodyAccJerk-std()-Z" "tBodyGyro-mean()-X" "tBodyGyro-mean()-Y" "tBodyGyro-mean()-Z" "tBodyGyro-std()-X" "tBodyGyro-std()-Y" "tBodyGyro-std()-Z" "tBodyGyroJerk-mean()-X" "tBodyGyroJerk-mean()-Y" "tBodyGyroJerk-mean()-Z" "tBodyGyroJerk-std()-X" "tBodyGyroJerk-std()-Y" "tBodyGyroJerk-std()-Z" "tBodyAccMag-mean()" "tBodyAccMag-std()" "tGravityAccMag-mean()" "tGravityAccMag-std()" "tBodyAccJerkMag-mean()" "tBodyAccJerkMag-std()" "tBodyGyroMag-mean()" "tBodyGyroMag-std()" "tBodyGyroJerkMag-mean()" "tBodyGyroJerkMag-std()" "fBodyAcc-mean()-X" "fBodyAcc-mean()-Y" "fBodyAcc-mean()-Z" "fBodyAcc-std()-X" "fBodyAcc-std()-Y" "fBodyAcc-std()-Z" "fBodyAccJerk-mean()-X" "fBodyAccJerk-mean()-Y" "fBodyAccJerk-mean()-Z" "fBodyAccJerk-std()-X" "fBodyAccJerk-std()-Y" "fBodyAccJerk-std()-Z" "fBodyGyro-mean()-X" "fBodyGyro-mean()-Y" "fBodyGyro-mean()-Z" "fBodyGyro-std()-X" "fBodyGyro-std()-Y" "fBodyGyro-std()-Z" "fBodyAccMag-mean()" "fBodyAccMag-std()" "fBodyBodyAccJerkMag-mean()" "fBodyBodyAccJerkMag-std()" "fBodyBodyGyroMag-mean()" "fBodyBodyGyroMag-std()" "fBodyBodyGyroJerkMag-mean()" "fBodyBodyGyroJerkMag-std()"
"LAYING" 1 0.234780479395833 -0.0435622452041667 -0.0852008280416667 -0.928994429791667 -0.827342672520833 -0.871429010091667 0.0365652194791667 0.52127522175 0.546022695395833 -0.917001667291667 -0.905886833916667 -0.912486646458333 0.0750482509583333 0.006415084668125 -0.00288108696291667 -0.94870194 -0.916124908958333 -0.955561061041667 -0.0316356673395833 -0.070051469175 0.111964238375 -0.893843550854167 -0.941378405833333 -0.916857421666667 -0.094924301375 -0.0491678606770833 -0.0638954874375 -0.929536048333333 -0.963843327708333 -0.958927424791667 -0.864958041729167 -0.833238089208333 -0.864958041729167 -0.833238089208333 -0.947081536458333 -0.92276978375 -0.873495145229167 -0.84319909625 -0.96178161875 -0.94253927125 -0.934417339583333 -0.8593074964375 -0.903542417291667 -0.927417260208333 -0.823735870520833 -0.865286228979167 -0.948536226458333 -0.916789154791667 -0.948672921875 -0.953681771041667 -0.921961136041667 -0.961312432708333 -0.872213128964583 -0.945145110208333 -0.91676453625 -0.901505578125 -0.939723345416667 -0.92493634875 -0.877738054895833 -0.840027698041667 -0.926791018958333 -0.917639425833333 -0.877545593958333 -0.849235914375 -0.948575951041667 -0.939418782291667
"LAYING" 2 0.281373403958333 -0.0181587397583333 -0.107245610416667 -0.974059464791667 -0.98027739875 -0.984233296875 -0.509754238125 0.752536639375 0.646834879583333 -0.959014441458333 -0.988211865208333 -0.984230418125 0.0825972511666667 0.012254788451875 -0.00180264895625 -0.98587216875 -0.98317254125 -0.988442014375 -0.01847660675 -0.111800824583333 0.144882846104167 -0.988275232916667 -0.982291608958333 -0.960306560416667 -0.101974134208333 -0.0358590176083333 -0.0701783020833333 -0.993235849166667 -0.989567537916667 -0.98803582125 -0.977435485208333 -0.972873912916667 -0.977435485208333 -0.972873912916667 -0.987741696041667 -0.98551807625 -0.950011569583333 -0.961164053958333 -0.991767074166667 -0.989718095208333 -0.976725059791667 -0.979800877916667 -0.984380981875 -0.973246482083333 -0.981025105625 -0.984792185 -0.985813630833333 -0.982768250416667 -0.986197134583333 -0.987250255833333 -0.984987392916667 -0.989345368541667 -0.9864311425 -0.983321635416667 -0.9626718875 -0.988860685833333 -0.981910616458333 -0.963174222291667 -0.975110196458333 -0.975121387916667 -0.985374114791667 -0.984568489166667 -0.972112972708333 -0.96109837875 -0.990248702291667 -0.989492660416667
"LAYING" 3 0.276182877631579 -0.0186170123052632 -0.107929014639763 -0.765351519473684 -0.599006007110526 -0.730565291184211 0.916715110526316 -0.304063725635395 -0.0215536300802632 -0.9683273975 -0.931571091184211 -0.916957490526316 0.0594232943209211 0.0216837106336842 0.00507238836960526 -0.797385728421053 -0.722518585380263 -0.889067005921053 -0.00303383177105263 -0.0783159760263158 0.0644689172763158 -0.762039869078947 -0.820258304078947 -0.777645964473684 -0.107545956328947 -0.0397040285921053 -0.0440634807 -0.8041909825 -0.904620938289474 -0.833308218552632 -0.690750349460526 -0.725925095657895 -0.690750349460526 -0.725925095657895 -0.794632314605263 -0.781235891052632 -0.712938209473684 -0.737068304592105 -0.863807078026316 -0.882821458552632 -0.788299441578947 -0.647126764239474 -0.79801632 -0.757751391407895 -0.600586119759211 -0.718228339736842 -0.808336456184211 -0.736002368960526 -0.876811875657895 -0.804133404605263 -0.726834306065789 -0.900064905394737 -0.746594508289474 -0.84077351368421 -0.762327314736842 -0.769612711052632 -0.810214715394737 -0.803809633026316 -0.7287652975 -0.767455538552632 -0.780178479473684 -0.78369866368421 -0.790786325921053 -0.749216497031579 -0.886196059342105 -0.886748839473684
"LAYING" 4 0.263559214981481 -0.0150031841055556 -0.110688150314815 -0.954193738888889 -0.941714042407407 -0.962667314814815 -0.420664662222222 0.915165104259259 0.341531310555556 -0.921199965925926 -0.969816635740741 -0.976176608888889 0.0934494217777778 0.00693313213968519 -0.00641054328740741 -0.978302781111111 -0.942209488333333 -0.978511984259259 -0.00923156347222222 -0.0930128180759259 0.169720404092593 -0.973102422222222 -0.961109291851852 -0.962073755 -0.105019877685185 -0.0381230432222222 -0.0712156288333333 -0.975103204259259 -0.986855629814815 -0.983965359814815 -0.954557603148148 -0.931292216611111 -0.954557603148148 -0.931292216611111 -0.970095771666667 -0.960786430740741 -0.930236462592593 -0.947031781666667 -0.985068502037037 -0.982698213703704 -0.958802077592593 -0.938883374444444 -0.967504278888889 -0.952464881481481 -0.946380971111111 -0.962154454259259 -0.978542457407407 -0.943969987222222 -0.975383329444444 -0.980079292592593 -0.944366881666667 -0.980261236296296 -0.967203736481482 -0.972187839074074 -0.961479262592593 -0.975094739444444 -0.956182500185185 -0.965807466666667 -0.939389701296296 -0.937187975962963 -0.96228712537037 -0.958037119259259 -0.961556660185185 -0.947100325185185 -0.983609073333333 -0.982543631666667
"LAYING" 5 0.274057266525424 -0.0227291689105085 -0.0946621745254237 0.0825477447067797 0.121715534271186 -0.33444012920339 0.94574793220339 -0.177300196311864 0.00371383822842542 -0.944335541525424 -0.892846009830508 -0.917287572372881 0.08156727 0.0202863339813559 0.00246329286033898 -0.12089258640678 -0.0738804156745763 -0.597464681694915 -0.00632839630508474 -0.0870615163762712 0.0526138156644068 -0.461501599322034 -0.451242825423729 -0.27381642259322 -0.120030266661017 -0.0752899015110169 -0.0365570678525424 -0.355993322542373 -0.590713055084746 -0.206126747254237 0.105738088698305 -0.00363409674576271 0.105738088698305 -0.00363409674576271 -0.176664093050847 -0.211490038323729 -0.240927087677966 -0.367555859627119 -0.455728574745763 -0.518848838305085 -0.0631692159491525 0.0493775713898305 -0.434229781355932 0.133551051777966 0.0857915146915254 -0.337484564508475 -0.191296336732203 -0.159279688898305 -0.564785407288136 -0.126800784915254 -0.043322970981017 -0.628639085762712 -0.289447886844068 -0.470760454745763 -0.12292943469661 -0.517776279661017 -0.44717758338983 -0.398783660169492 -0.0431204495423729 -0.138434050435593 -0.165357470813559 -0.281571391059322 -0.387771939644068 -0.465155483389831 -0.525827661525424 -0.545393024067797
"LAYING" 6 0.2774671215 -0.0217807970514815 -0.111027498296296 0.228972576425926 0.310358174085 -0.363713045647778 0.934320730925926 -0.216878242592593 0.00849318255814815 -0.957647896666667 -0.934517924259259 -0.936765289259259 0.106219440759259 0.0120443160266667 -0.021592450062963 0.0920083713333333 0.199139660025926 -0.382774843796296 -0.0962386668833333 -0.0372690735055556 0.0819573204446296 -0.271154304027778 -0.235979831596296 -0.150661251272222 -0.0317635433203704 -0.0680008406462963 -0.0447759205277778 -0.020090221887037 -0.251593804388889 0.122288545816667 0.219036637962963 0.233415571074074 0.219036637962963 0.233415571074074 0.0322169166296296 0.138596477907407 -0.0633919763055556 -0.118734884624074 -0.139956850648148 -0.175122854956667 0.206976245925926 0.281945278712963 -0.328229597259259 0.23456836687037 0.241084410277778 -0.441477527111111 0.0679436763537037 0.0795276609944444 -0.336628529592593 0.0169163152424444 0.248008221298148 -0.427375126962963 -0.0213938900314815 -0.186456281481481 0.0817654503425926 -0.356007433764815 -0.275550462518519 -0.321833902092593 0.263603337666667 0.0212952695740741 0.171465920731481 0.0864505341851852 -0.0848966889296296 -0.309569303914815 -0.190363180462963 -0.213683893753704
"LAYING" 7 0.274785777424242 -0.0187656091151515 -0.109135482751515 -0.0323200669 -0.152284984492424 -0.030928409855303 0.921338688333333 -0.152911902636364 -0.181945850724242 -0.960038936818182 -0.951750170909091 -0.919973525909091 0.0952277913757576 -0.00223027456515151 -0.0160343202393939 -0.0775562912386364 -0.285593675056061 -0.341706947916364 -0.104760293936364 -0.0450514089777273 0.116148332136515 -0.424623110030303 -0.318762625681818 -0.386780273030303 -0.0620320085090909 -0.0498214578674242 -0.0827685987772727 -0.482312183801515 -0.328934032027273 -0.462295281712121 -0.0164054362030303 0.0820312444268182 -0.0164054362030303 0.0820312444268182 -0.202001905917121 0.00820725654848485 -0.212540837969697 -0.271026282424242 -0.416363634090909 -0.318357246409091 -0.0591144339090909 -0.160538825454545 -0.129537510807576 -0.0234703674257576 -0.203016820924242 -0.0577335349530303 -0.12887363265303 -0.311393433969697 -0.29395139180303 -0.108297840939394 -0.307455966909091 -0.388942395148485 -0.347467080939394 -0.24949270340303 -0.321820145924242 -0.452690352409091 -0.371655116818182 -0.469080417727273 0.0878415763757576 -0.0913369221 -0.00302876154090909 0.0123674108363636 -0.281950855424242 -0.395319185909091 -0.319146937848485 -0.366852616710606
"LAYING" 8 0.273381957931034 -0.0211733269482759 -0.110563475868966 -0.719192783 -0.537930656206897 -0.567553611793103 0.942775782413793 -0.127268670908966 -0.0853932817517241 -0.966562864482759 -0.934466937931035 -0.860299920689655 0.0818034825517241 0.0156267547724138 -0.0303128297896552 -0.718865261551724 -0.649984161758621 -0.83391629137931 0.0122575189206897 -0.0469846281275862 0.0537511315517241 -0.749478142517241 -0.626881748068966 -0.657493462762069 -0.099428981862069 -0.0624753989310345 -0.0811054968827586 -0.764908368965517 -0.790996488965517 -0.822449143793103 -0.60272965262069 -0.66964621237931 -0.60272965262069 -0.66964621237931 -0.719300785241379 -0.705188269482759 -0.591543302586207 -0.653096297627586 -0.786167047241379 -0.809360465862069 -0.70906168172069 -0.554099813137931 -0.670226092793103 -0.723877447068966 -0.559688605172414 -0.550280579965517 -0.723935883441379 -0.660162446662069 -0.809414302413793 -0.739309048862069 -0.66389874362069 -0.85814502137931 -0.701081216310345 -0.663520046337931 -0.680498258917241 -0.765606002551724 -0.609049029103448 -0.681915457241379 -0.658739261310345 -0.731716053496552 -0.680012677341379 -0.744044961068966 -0.690861710655172 -0.687713006827586 -0.802222866896552 -0.832705655517241
"LAYING" 9 0.2591955368 -0.020526821662 -0.10754972144 -0.94233309 -0.9162927764 -0.9407072854 -0.5802528348 -0.1191541962 0.9578730416 -0.9218210626 -0.9699944882 -0.9712046902 0.08807344764 0.011561732718 -0.0070536778584 -0.9647404702 -0.9639966798 -0.958562455 -0.013632036148 -0.15890291983 0.101275010682 -0.9422465098 -0.9266185314 -0.9615953704 -0.10384667982 -0.027552256948 -0.0569490475 -0.945329035 -0.9621702422 -0.9770761602 -0.9308684376 -0.91512680016 -0.9308684376 -0.91512680016 -0.9633745492 -0.9550268052 -0.9071250998 -0.8985578738 -0.964524819 -0.9528015598 -0.946865494 -0.9343665984 -0.9459190006 -0.9409810272 -0.9128367508 -0.9419711636 -0.964304065 -0.9640828062 -0.955909215 -0.9686013042 -0.966634136 -0.9597147176 -0.930297921 -0.9345796594 -0.9598150092 -0.9463891504 -0.9231319366 -0.965686312 -0.9266042952 -0.921929738394 -0.9543205856 -0.9550947122 -0.9186053356 -0.9034005814 -0.9558062546 -0.9522904702
"LAYING" 10 0.280230574137931 -0.024294484137931 -0.117168642362069 -0.968283685 -0.946454302068966 -0.95947148637931 -0.453069737586207 -0.139297681034483 -0.031121624137931 -0.954531941896552 -0.966701156034483 -0.963045642431035 0.073815064487931 0.015698997097069 0.00716689586275862 -0.978007466724138 -0.966930793448276 -0.976256662586207 -0.019555937162069 -0.0770325657265517 0.104720478344828 -0.961713199827586 -0.953660207586207 -0.971940597413793 -0.100308254413793 -0.0388797920413793 -0.0590744912758621 -0.965900578103448 -0.966621040344828 -0.983949302758621 -0.956781819655172 -0.940301654482759 -0.956781819655172 -0.940301654482759 -0.976234435172414 -0.967556980689655 -0.937590998793103 -0.927471165517241 -0.970830848965517 -0.959632931551724 -0.96918420862069 -0.954341849137931 -0.964300845172414 -0.96796803862069 -0.946229148258621 -0.959813667810345 -0.979014668793104 -0.968039173793103 -0.972592212931034 -0.978904364137931 -0.968120692241379 -0.978582339137931 -0.953793912068965 -0.954670034482759 -0.969755777241379 -0.96454456637931 -0.953453496551724 -0.975298797068965 -0.950848109137931 -0.944304974655172 -0.968561121551724 -0.965377553448276 -0.937692642586207 -0.933701315344828 -0.960976821551724 -0.960772875517241
